segment_id,road_name,zone_type,segment_index,start_lat,start_lng,end_lat,end_lng,mid_lat,mid_lng,length_m,road_class,lane_count,speed_limit_kmh,avg_traffic_volume,pothole_density_per_km,surface_rating,lighting_quality,encroachment_level,drainage_quality,has_footpath,accident_count_12mo,fatal_accident_count_12mo,injury_count_12mo,avg_accident_severity,road_quality_index,accident_history_index,safety_score,safety_band
SEG-0001,Ferozepur Road,arterial_highway,0,31.5497,74.3433,31.544304,74.34324,31.547002,74.34327,600.0,arterial,6,85,4517,2.38,3.5,moderate,moderate,moderate,1,5,1,3,3.33,0.6616,0.6459,62.4,moderate
SEG-0002,Ferozepur Road,arterial_highway,1,31.544304,74.34324,31.538909,74.343181,31.541606,74.343211,600.0,arterial,6,90,4085,3.16,3.97,good,none,good,1,8,0,8,3.54,0.8764,0.5716,68.3,moderate
SEG-0003,Ferozepur Road,arterial_highway,2,31.538909,74.343181,31.533513,74.343121,31.536211,74.343151,600.0,arterial,5,80,4131,3.65,3.48,poor,none,poor,0,9,1,5,3.16,0.5566,0.5121,49.8,risky
SEG-0004,Ferozepur Road,arterial_highway,3,31.533513,74.343121,31.528117,74.343062,31.530815,74.343091,600.0,arterial,5,85,4317,6.22,4.37,good,none,moderate,0,8,2,4,3.9,0.764,0.4552,55.1,moderate
SEG-0005,Ferozepur Road,arterial_highway,4,31.528117,74.343062,31.522722,74.343002,31.525419,74.343032,600.0,arterial,6,90,5305,4.42,3.45,moderate,none,good,0,8,1,3,3.48,0.7152,0.5539,63.2,moderate
SEG-0006,Ferozepur Road,arterial_highway,5,31.522722,74.343002,31.517326,74.342942,31.520024,74.342972,600.0,arterial,6,90,4046,6.05,4.4,moderate,moderate,moderate,1,7,1,10,4.24,0.6491,0.4825,59.3,moderate
SEG-0007,Ferozepur Road,arterial_highway,6,31.5135,74.3429,31.512858,74.34122,31.513179,74.34206,174.5,arterial,4,100,3709,3.88,3.41,good,none,poor,1,8,1,8,3.85,0.7279,0.4873,57.8,moderate
SEG-0008,Ferozepur Road,arterial_highway,7,31.512858,74.34122,31.510653,74.335444,31.511756,74.338332,600.0,arterial,5,95,4271,4.49,4.5,good,none,good,1,4,0,12,4.01,0.8846,0.6297,76.3,safe
SEG-0009,Ferozepur Road,arterial_highway,8,31.510653,74.335444,31.508448,74.329668,31.50955,74.332556,600.0,arterial,6,90,3848,6.17,4.23,moderate,none,moderate,0,4,2,14,4.27,0.6812,0.4497,52.8,moderate
SEG-0010,Ferozepur Road,arterial_highway,9,31.508448,74.329668,31.506242,74.323892,31.507345,74.32678,600.0,arterial,4,100,6092,2.73,3.63,good,moderate,moderate,1,6,0,12,4.07,0.7382,0.5696,62.7,moderate
SEG-0011,Ferozepur Road,arterial_highway,10,31.506242,74.323892,31.504037,74.318116,31.50514,74.321004,600.0,arterial,5,100,6038,2.79,3.8,moderate,none,good,0,8,2,8,3.95,0.7677,0.4093,52.8,moderate
SEG-0012,Ferozepur Road,arterial_highway,11,31.504037,74.318116,31.501832,74.31234,31.502934,74.315228,600.0,arterial,6,85,3464,4.08,3.46,poor,none,moderate,0,5,2,13,3.16,0.5973,0.4649,59.2,moderate
SEG-0013,Ferozepur Road,arterial_highway,12,31.501832,74.31234,31.499626,74.306564,31.500729,74.309452,600.0,arterial,6,90,3980,3.23,4.09,moderate,none,good,0,6,0,11,3.53,0.7776,0.5969,61.9,moderate
SEG-0014,Ferozepur Road,arterial_highway,13,31.499626,74.306564,31.497421,74.300788,31.498523,74.303676,600.0,arterial,4,85,3822,2.5,4.06,good,none,moderate,0,6,1,6,4.27,0.8144,0.5552,72.7,moderate
SEG-0015,Ferozepur Road,arterial_highway,14,31.497421,74.300788,31.495215,74.295012,31.496318,74.2979,600.0,arterial,4,100,6030,4.05,4.38,moderate,none,good,0,4,1,6,3.59,0.7803,0.634,74.4,moderate
SEG-0016,Ferozepur Road,arterial_highway,15,31.495215,74.295012,31.49301,74.289236,31.494113,74.292124,600.0,arterial,6,100,4918,6.22,3.48,good,none,moderate,0,4,1,15,3.83,0.7084,0.5268,63.2,moderate
SEG-0017,Ferozepur Road,arterial_highway,16,31.4925,74.2879,31.488872,74.285543,31.490686,74.286721,461.2,arterial,6,85,6133,4.45,4.21,poor,moderate,moderate,1,5,1,11,3.38,0.5922,0.5555,63.5,moderate
SEG-0018,Ferozepur Road,arterial_highway,17,31.488872,74.285543,31.484152,74.282477,31.486512,74.28401,600.0,arterial,6,85,4033,3.26,3.98,good,none,moderate,0,5,1,5,3.91,0.7951,0.6063,75.8,safe
SEG-0019,Ferozepur Road,arterial_highway,18,31.484152,74.282477,31.479432,74.279411,31.481792,74.280944,600.0,arterial,6,100,3471,4.11,4.48,good,none,moderate,1,5,2,14,4.22,0.8404,0.422,61.5,moderate
